name,artists,popularity,album_name,danceability,energy,liveness,valence,tempo,speechiness
Ordinary,Alex Warren,95,"You'll Be Alright, Kid (Chapter 1)",0.368,0.694,0.055,0.391,168.115,0.06
Manchild,Sabrina Carpenter,89,Manchild,0.731,0.685,0.317,0.811,123.01,0.0572
back to friends,sombr,98,back to friends,0.436,0.723,0.0929,0.235,92.855,0.0301
Die With A Smile,"Lady Gaga, Bruno Mars",91,MAYHEM,0.519,0.601,0.126,0.498,157.964,0.0317
BIRDS OF A FEATHER,Billie Eilish,100,HIT ME HARD AND SOFT,0.747,0.507,0.117,0.438,104.978,0.0358
Donâ€™t Say You Love Me,Jin,93,Echo,0.729,0.562,0.105,0.757,111.976,0.0304
La Plena - W Sound 05,"W Sound, BeÃ©le, Ovy On The Drums",95,La Plena (W Sound 05),0.894,0.643,0.101,0.659,99.039,0.132
undressed,sombr,96,undressed,0.642,0.887,0.0829,0.888,115.999,0.0406
APT.,"ROSÃ‰, Bruno Mars",89,rosie,0.777,0.783,0.355,0.939,149.027,0.26
Love Me Not,Ravyn Lenae,91,Bird's Eye,0.779,0.731,0.128,0.814,114.001,0.0306
WILDFLOWER,Billie Eilish,96,HIT ME HARD AND SOFT,0.467,0.247,0.17,0.126,148.101,0.0431
TU SANCHO,Fuerza Regida,90,111XPANTIA,0.689,0.84,0.126,0.631,120.012,0.0457
Just Keep Watching (From F1Â® The Movie),"Tate McRae, F1 The Album",91,Just Keep Watching (From F1Â® The Movie),0.656,0.796,0.509,0.425,129.956,0.113
Beautiful Things,Benson Boone,93,Fireworks & Rollerblades,0.472,0.471,0.14,0.219,105.029,0.0603
Espresso,Sabrina Carpenter,91,Short n' Sweet,0.699,0.776,0.205,0.708,103.963,0.0293
Sailor Song,Gigi Perez,89,"At The Beach, In Every Life",0.499,0.392,0.192,0.272,95.076,0.0262
DtMF,Bad Bunny,97,DeBÃ TiRAR MÃ¡S FOToS,0.625,0.131,0.0807,0.032,136.02,0.0717
Who,Jimin,90,MUSE,0.66,0.756,0.193,0.838,116.034,0.032
Thatâ€™s So True,Gracie Abrams,96,The Secret of Us (Deluxe),0.554,0.808,0.159,0.372,108.548,0.0368
Shake It To The Max (FLY) - Remix,"MOLIY, Silent Addy, Skillibeng, Shenseea",93,Shake It To The Max (FLY) (Remix),0.856,0.548,0.155,0.562,97.997,0.123
no tiene sentido,BeÃ©le,89,BORONDO,0.671,0.596,0.119,0.497,121.976,0.0556
Iris,The Goo Goo Dolls,58,Stay with You,0.315,0.715,0.0942,0.497,155.925,0.0362
luther (with sza),"Kendrick Lamar, SZA",92,GNX,0.707,0.575,0.248,0.576,138.008,0.125
Sapphire,Ed Sheeran,81,Sapphire,0.631,0.72,0.347,0.394,95.011,0.0655
The Night We Met,Lord Huron,82,Strange Trails,0.44,0.378,0.639,0.105,174.121,0.045
Lose Control,Teddy Swims,92,I've Tried Everything But Therapy (Part 1),0.561,0.604,0.104,0.242,159.92,0.0337
All The Stars (with SZA),"Kendrick Lamar, SZA",94,Black Panther The Album Music From And Inspired By,0.695,0.633,0.0926,0.557,96.782,0.0599
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",94,The Idol Episode 4 (Music from the HBO Original Series),0.264,0.64,0.151,0.19,84.828,0.0442
I Wanna Be Yours,Arctic Monkeys,94,AM,0.464,0.417,0.0974,0.479,67.528,0.0256
"Good Luck, Babe!",Chappell Roan,94,"Good Luck, Babe!",0.7,0.582,0.0881,0.785,116.712,0.0356
Mangu,"Fourtwnty, Charita Utami",87,Nalar,0.534,0.295,0.0794,0.197,94.048,0.0238
Yellow,Coldplay,93,Parachutes,0.429,0.661,0.234,0.285,173.372,0.0281
Marlboro Rojo,Fuerza Regida,91,111XPANTIA,0.773,0.645,0.32,0.923,114.996,0.0349
Messy,Lola Young,89,This Wasn't Meant For You Anyway,0.798,0.562,0.122,0.647,110.991,0.0375
Sweater Weather,The Neighbourhood,93,I Love You.,0.612,0.807,0.101,0.398,124.053,0.0336
BAILE INoLVIDABLE,Bad Bunny,96,DeBÃ TiRAR MÃ¡S FOToS,0.168,0.00332,0.112,0.219,119.387,0.0615
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",95,Hurry Up Tomorrow,0.768,0.775,0.138,0.6,119.999,0.0466
like JENNIE,JENNIE,95,Ruby,0.811,0.743,0.0868,0.815,130.019,0.0611
party 4 u,Charli xcx,93,how i'm feeling now,0.579,0.522,0.655,0.245,79.453,0.0993
What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",92,Iâ€™m The Problem,0.657,0.699,0.148,0.495,115.998,0.0262
You'll Be in My Heart,NIKI,93,You'll Be In My Heart,0.486,0.613,0.126,0.633,187.531,0.0394
Morena,"Neton Vega, Peso Pluma",92,Mi Vida Mi Muerte,0.697,0.776,0.341,0.189,118.007,0.0308
Show Me Love,"WizTheMc, bees & honey",94,Show Me Love,0.714,0.691,0.111,0.155,107.15,0.0434
Si Antes Te Hubiera Conocido,KAROL G,94,Si Antes Te Hubiera Conocido,0.924,0.668,0.0678,0.787,128.027,0.0469
Pink Pony Club,Chappell Roan,88,The Rise and Fall of a Midwest Princess,0.61,0.65,0.11,0.507,106.719,0.0474
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",93,Flower Boy,0.558,0.559,0.109,0.62,78.558,0.0959
EoO,Bad Bunny,94,DeBÃ TiRAR MÃ¡S FOToS,0.36,0.464,0.0825,0.184,63.662,0.0702
Mystical Magical,Benson Boone,92,Mystical Magical,0.671,0.697,0.393,0.848,119.867,0.116
Every Breath You Take,The Police,93,Synchronicity (Remastered 2003),0.82,0.452,0.0714,0.74,117.401,0.0348
Azizam,Ed Sheeran,92,Azizam,0.663,0.899,0.065,0.876,127.998,0.0473
Isaka (6am),"CIZA, Jazzworx, Thukuthela",75,Isaka (6am),0.341,0.54,0.212,0.752,176.762,0.0566
Uzizwa Kanjan (feat. GL_Ceejay),"Jazzworx, MaWhoo, Thukuthela, GL_Ceejay",72,Uzizwa Kanjan (feat. GL_ceejay),0.51,0.431,0.11,0.56,118.055,0.0518
